"direction","distance","value"
0,7860,195.24137878418
0,7890,194.896545410156
0,7920,194.655166625977
0,7950,194.379302978516
0,7980,194.172409057617
0,8010,193.896545410156
0,8040,193.620697021484
0,8070,193.172409057617
0,8100,192.689651489258
0,8130,191.75862121582
0,8160,190.379302978516
0,8190,188.793106079102
0,8220,187.206893920898
0,8250,185.827590942383
0,8280,184.724136352539
0,8310,183.931030273438
0,8340,183.172409057617
0,8370,182.379302978516
0,8400,181.586212158203
0,8430,180.344833374023
0,8460,179.206893920898
0,8490,178.172409057617
0,8520,177.24137878418
0,8550,175.655166625977
0,8580,173.344833374023
0,8610,169.896545410156
0,8640,165.517242431641
0,8670,159.896545410156
0,8700,153.862075805664
0,8730,147.655166625977
0,8760,141.793106079102
0,8790,136.689651489258
0,8820,132.931030273438
0,8850,130.482757568359
0,8880,129.620697021484
0,8910,130.655166625977
0,8940,133.206893920898
0,8970,136.655166625977
0,9000,139.896545410156
0,9030,142.517242431641
0,9060,144.172409057617
0,9090,144.75862121582
0,9120,143.724136352539
0,9150,140.75862121582
0,9180,136.310348510742
0,9210,130.862075805664
0,9240,124.86206817627
0,9270,118.896553039551
0,9300,113.62068939209
0,9330,109.13793182373
0,9360,105.448272705078
0,9390,102.37931060791
0,9420,99.2758636474609
0,9450,96.2758636474609
0,9480,93.7931060791016
0,9510,91.8965530395508
0,9540,90.4137954711914
0,9570,89.2413787841797
0,9600,88.3448257446289
0,9630,87.6896514892578
0,9660,87
0,9690,86.3448257446289
0,9720,85.931037902832
0,9750,85.8965530395508
0,9780,85.7931060791016
0,9810,85.6551742553711
0,9840,85.5172424316406
0,9870,85.4827575683594
0,9900,85.2413787841797
0,9930,85.1428604125977
0,9960,85.2173919677734
0,9989.99999996112,85.5
45,0,123.545455932617
45,42.4264065476003,123.545455932617
45,42.4264068705341,123.214286804199
45,84.8528134189989,124.277778625488
45,84.8528137417269,124.363639831543
45,127.279220290398,125.222221374512
45,127.27922061292,125.071426391602
45,169.705627161755,126.103446960449
45,169.705627483454,126.13793182373
45,212.132034033154,127.448272705078
45,212.132034354647,127.75862121582
45,254.558440904552,128.206893920898
45,254.55844122584,128.724136352539
45,296.984847775951,128.655166625977
45,296.984848097033,129.379302978516
45,339.41125464735,128.965515136719
45,339.411254967567,129.965515136719
45,381.837661518748,129.172409057617
45,381.83766183876,130.137924194336
45,424.264068390106,129.068969726562
45,424.264068709953,129.931030273438
45,466.690475261504,129.034484863281
45,466.690475580487,129.896545410156
45,509.116882132903,129.172409057617
45,509.11688245168,130.137924194336
45,551.543289004302,129.75862121582
45,551.543289322873,130.965515136719
45,593.9696958757,130.655166625977
45,593.969696193407,132.068969726562
45,636.396102747099,131.931030273438
45,636.3961030646,133.517242431641
45,678.822509618498,133.551727294922
45,678.822509935793,135.275863647461
45,721.248916489855,135.724136352539
45,721.248916806985,137.931030273438
45,763.675323361254,139.103454589844
45,763.67532367752,141.655166625977
45,806.101730232652,142.620697021484
45,806.101730548713,144.689651489258
45,848.528137104051,144.448272705078
45,848.528137419906,145.448272705078
45,890.95454397545,143.103454589844
45,890.95454429044,142.344833374023
45,933.380950846848,139
45,933.380951161633,138.379302978516
45,975.807357718206,135.068969726562
45,975.807358032826,135.068969726562
45,1018.2337645896,133.206893920898
45,1018.23376490336,133.586212158203
45,1060.660171461,132.965515136719
45,1060.66017177455,133.206893920898
45,1103.0865783324,133.862075805664
45,1103.08657864575,133.24137878418
45,1145.5129852038,136.655166625977
45,1145.51298551694,136.137924194336
45,1187.9393920752,142.206893920898
45,1187.93939238747,142.931030273438
45,1230.3657989466,150.034484863281
45,1230.36579925867,151.931030273438
45,1272.79220581796,157.827590942383
45,1272.79220612986,160.689651489258
45,1315.21861268935,163.413787841797
45,1315.21861300039,165.655166625977
45,1357.64501956075,165.75862121582
45,1357.64501987159,167.206893920898
45,1400.07142643215,166.103454589844
45,1400.07142674278,167.034484863281
45,1442.49783330355,165.655166625977
45,1442.49783361331,166.310348510742
45,1484.92424017495,165.103454589844
45,1484.92424048451,165.655166625977
45,1527.35064704631,164.793106079102
45,1527.3506473557,165.137924194336
45,1569.7770539177,164.620697021484
45,1569.77705422623,165.103454589844
45,1612.2034607891,164.862075805664
45,1612.20346109743,165.655166625977
45,1654.6298676605,165.344833374023
45,1654.62986796862,166.413787841797
45,1697.0562745319,166.379302978516
45,1697.05627483981,168.034484863281
45,1739.4826814033,168.103454589844
45,1739.48268171035,169.896545410156
45,1781.9090882747,170
