"direction","bin.center","v","n","sd","bin.limit"
"omnidir",2325,0.345841648430198,162103,0.498590295756663,2480
"omnidir",2635,0.347346818756534,173417,0.500320106509354,2790
"omnidir",2945,0.350095333693559,184965,0.50326675595973,3100
"omnidir",3255,0.350659239582254,191831,0.503582583116033,3410
"omnidir",3565,0.352049127565917,197824,0.508344197702525,3720
"omnidir",3875,0.352227646870515,203607,0.508376751711204,4030
"omnidir",4185,0.353947338222085,205651,0.511340217540936,4340
"omnidir",4495,0.352190396286429,205330,0.508675752477217,4650
"omnidir",4805,0.355159724356402,205945,0.51300304332213,4960
"omnidir",5115,0.353804815315036,202515,0.512469595939892,5270
"omnidir",5425,0.356080358715549,196023,0.515966451511398,5580
"omnidir",5735,0.356117663351263,191656,0.521019396368848,5890
"omnidir",6045,0.356723767468849,181978,0.5229146369664,6200
"omnidir",6355,0.353986608631514,171286,0.521178127547572,6510
"omnidir",6665,0.361577177380311,164003,0.532782004570595,6820
"omnidir",6975,0.360427491991805,152974,0.529522191585646,7130
